species,mass,molecular_weight,GC_content
Aptenodytes forsteri,28.0,3268.8268000000007,48.38145231846019
Aptenodytes patagonicus,13.4,3268.8268000000007,49.69378827646544
Eudyptes chrysocome,2.8,3256.7731000000013,51.181102362204726
Eudyptes chrysolophus,4.5,3256.7731000000013,50.91863517060368
Eudyptes sclateri,4.25,3256.7731000000013,50.83114610673666
Eudyptula minor,1.6,3298.8528000000015,49.256342957130364
Pygoscelis adeliae,4.6,3268.8268000000007,49.08136482939632
Pygoscelis antarctica,4.1,3268.8268000000007,47.76902887139108
Pygoscelis papua,6.1,3292.934400000001,47.15660542432196
Spheniscus demersus,3.2,3256.7731000000013,48.29396325459317
Spheniscus humboldti,4.75,3256.7731000000013,49.256342957130364
Spheniscus magellanicus,3.4,3256.7731000000013,48.20647419072616
